test case,mean,stddev,median,none,none2,none3,none4
u_7d_16b_1.svp,0.0006724151523458084,0.0000848194469649588,0.0006499580000000001,0.00018586346863468675,0.00031906378492356393,0.000610958,0.001969708
u_13d_8b_22.svp,0.000776825956248032,0.00005385117275587917,0.0007667500000000001,0.00029436764242996423,0.00031436260623229586,0.000729041,0.0022856670000000003
u_14d_32b_3.svp,0.0008171220841346152,0.000164877129420751,0.0007987080000000001,0.00032632421874999936,0.0003161760817307697,0.000760708,0.005952833
u_18d_8b_16.svp,0.0011231263177022284,0.0001596434823612808,0.001102792,0.000620415396639315,0.00032247870261821026,0.0010603750000000001,0.005283417
u_12d_16b_9.svp,0.0007342225114039526,0.00008638106863133575,0.0007209585,0.000250793208312217,0.00031521135326913413,0.0006842920000000001,0.0050203750000000005
u_19d_16b_1.svp,0.00100527448900901,0.00017159826952352312,0.0009886250000000001,0.000503261981981985,0.00032130990990990945,0.0009427080000000001,0.007942542
u_8d_8b_3.svp,0.0006628335099009884,0.00003830383966486825,0.0006524580000000001,0.0001881532296086768,0.0003114054691183416,0.0006214580000000001,0.001860709
u_20d_16b_19.svp,0.0011028650265978556,0.00014581014678308643,0.001084541,0.0005984704247717289,0.00032252878126240507,0.0010407090000000001,0.004944375
u_19d_16b_12.svp,0.0011151935028680673,0.00003818507728286786,0.0011061670000000001,0.000619483747609943,0.00032020458891013354,0.0010585,0.0013826250000000002
u_20d_16b_25.svp,0.0011326030799329251,0.0002212541316368277,0.0011103340000000001,0.0006233331470095009,0.0003229329234209054,0.001068125,0.006985292000000001
u_6d_8b_16.svp,0.0006869833040446289,0.00016838462981542366,0.000663334,0.00018493258949325863,0.00032919270106926987,0.000605542,0.007743542000000001
u_5d_8b_24.svp,0.0006538743399625633,0.00006305088407998167,0.000641917,0.00017546373420682793,0.0003144623303696782,0.000606958,0.00257125
u_10d_16b_11.svp,0.0006758496653396388,0.00011150079536546431,0.000660458,0.00019631027618810897,0.0003120134361781558,0.000624875,0.0044335830000000005
u_2d_32b_5.svp,0.0006501772415929214,0.00004094719289955858,0.000637146,0.00017322898230088236,0.00031465287610619606,0.000597875,0.000992917
u_6d_8b_8.svp,0.0007222942477023101,0.0005543879237760846,0.0006737080000000001,0.00018881730553687423,0.0003362400806993954,0.000604875,0.026944416000000002
u_4d_32b_11.svp,0.000711522338405634,0.00016966082268575724,0.0006713330000000001,0.00018573926868044286,0.0003444603679309566,0.000602792,0.0051382910000000006
u_11d_16b_7.svp,0.0007751894140914696,0.0002619419365047749,0.000733833,0.00022668875154511993,0.0003523359703337443,0.000653625,0.011254291000000001
u_5d_8b_18.svp,0.0007062116135004268,0.0004177482459931161,0.000682875,0.00018698746795784666,0.0003351016804329244,0.00061875,0.021058791
u_2d_16b_14.svp,0.0006952346909737629,0.00011970107924019378,0.0006740625,0.00018247621164962065,0.0003372783459315247,0.00060225,0.004363792
u_16d_32b_14.svp,0.0008791296426858519,0.00012108120157047979,0.000856292,0.000357004196642684,0.00033645833333333254,0.0007816250000000001,0.003861709
u_10d_8b_4.svp,0.0006915190841121516,0.00021930429379253425,0.000671916,0.0002020177330457674,0.00031725832734244076,0.00063075,0.011665334000000001
u_5d_16b_24.svp,0.0006610005277711581,0.00022658314224590007,0.000638167,0.00017491084624552582,0.00031523003575685457,0.0006009580000000001,0.009199375000000001
u_11d_32b_24.svp,0.0006797827409736778,0.00005617913754959153,0.000669167,0.00019989890519449987,0.0003143363615187527,0.0006319170000000001,0.0033772090000000004
u_5d_16b_18.svp,0.0006550883885309278,0.0001280406323900845,0.000638188,0.00017481421821305366,0.00031368170103092814,0.000602208,0.004570792000000001
u_17d_16b_21.svp,0.000932466048216646,0.00014114165738741014,0.000915125,0.00043499240422721066,0.00032180746367239027,0.0008721250000000001,0.004585209000000001
u_10d_8b_10.svp,0.0006692644399346846,0.000032237747718321466,0.000659417,0.00019227478423140012,0.00031337508747375807,0.0006222500000000001,0.0009185
u_11d_32b_18.svp,0.0007194451701908224,0.00014706994061468464,0.0007013750000000001,0.0002303767405879322,0.0003178494069107805,0.000662625,0.004786333
u_3d_32b_21.svp,0.0006464638554382746,0.00003895404881198698,0.0006357085,0.00017228201009637114,0.00031318678292794965,0.000601125,0.0017377500000000001
u_12d_16b_24.svp,0.0007766160793650814,0.00010167650482527579,0.000762292,0.00029160551652354655,0.0003169919333853761,0.000720583,0.003377375
u_18d_8b_8.svp,0.000915247613695088,0.00004835941235207931,0.0009055835000000001,0.0004223104005167968,0.0003194596253229976,0.00086125,0.0026866670000000002
u_6d_32b_24.svp,0.000657271855144406,0.00009852431086140745,0.0006416665000000001,0.00017773285198555686,0.00031481543321299686,0.0006067080000000001,0.0031707920000000004
u_12d_16b_18.svp,0.0007313989385474833,0.00011141155935161319,0.00071575,0.0002445652615540894,0.0003170030472320984,0.000676292,0.0037870420000000004
u_14d_32b_21.svp,0.000814639640610959,0.000035472587415114335,0.000805583,0.0003311814914645119,0.0003160122791254876,0.00076625,0.001158042
u_6d_32b_18.svp,0.000661337567301079,0.00011565655477409176,0.000645625,0.0001796491630359993,0.00031540976840174377,0.000608125,0.004794708
u_3d_8b_13.svp,0.0006448096143958883,0.000032739730446059445,0.000635041,0.0001715022201448914,0.000312764430941809,0.000600708,0.0009495840000000001
u_7d_16b_11.svp,0.0006639104264029433,0.00012661730842680036,0.000647958,0.00018231370745170125,0.0003157345906163764,0.000611833,0.005064125
u_2d_16b_4.svp,0.0006479842579046701,0.00010298899671912286,0.0006345000000000001,0.00017069702689948054,0.0003138598395469573,0.000597458,0.003661833
u_13d_32b_11.svp,0.0007465566808097616,0.00005580897971734112,0.0007364165000000001,0.0002637468108707692,0.0003158635607321143,0.000692625,0.0031858750000000003
u_3d_8b_7.svp,0.0006519716261231642,0.00011519118149909868,0.0006369170000000001,0.0001726931843085661,0.00031532938856015805,0.000600375,0.006546125000000001
u_11d_32b_6.svp,0.0006898471284579583,0.000035141812053990804,0.000678958,0.00020840920295809275,0.0003163683922213103,0.000642209,0.001007084
u_15d_16b_14.svp,0.0007898203987441111,0.00013054870530044188,0.0007725625,0.00029788513867085254,0.00031750235478806936,0.000732792,0.004015875
u_12d_32b_8.svp,0.0007267337957257847,0.00018920582802557182,0.000711459,0.00024089397724118823,0.00031609325562031667,0.000672583,0.010496750000000001
u_8d_32b_17.svp,0.0006699460689735247,0.0001177127947065385,0.000654416,0.00018892150487691696,0.00031538690199721424,0.000617459,0.004457959
u_15d_8b_15.svp,0.0008593010616588419,0.00012798824062775115,0.0008427090000000001,0.0003658597809076706,0.0003190863849765275,0.000800708,0.004587917
u_9d_16b_22.svp,0.0006751249072377479,0.0000486602503699603,0.0006637090000000001,0.00019588158497480768,0.0003151740723774633,0.0006255410000000001,0.002751167
u_14d_16b_2.svp,0.0007505617521727687,0.00011178734946920553,0.000735542,0.00026305240979720583,0.0003165614959178304,0.0007006660000000001,0.004145208
u_16d_8b_3.svp,0.0008580511750158528,0.00003585414837832726,0.000849042,0.0003702780596068431,0.00031736873811033647,0.000810458,0.0011895
u_14d_16b_3.svp,0.0007672147535049717,0.00012033341779206161,0.000751667,0.00027822865154218863,0.00031796048942136146,0.000714292,0.004622292
u_16d_8b_2.svp,0.0008591404563492055,0.00003583955334175379,0.000850375,0.00037066819291818733,0.0003181172161172176,0.0008084170000000001,0.0012110830000000002
u_9d_16b_23.svp,0.0006678193061745575,0.00010543703001359796,0.000653583,0.0001867149489322194,0.00031487650882080007,0.0006173330000000001,0.0053919580000000005
u_7d_32b_1.svp,0.00067862829923589,0.00011974622989375871,0.0006541250000000001,0.00018276756223810706,0.00032021912743406445,0.000614416,0.0042467500000000005
u_15d_8b_14.svp,0.0009252267889688255,0.00012351774196581576,0.00090525,0.0004258458376156181,0.0003206879068174033,0.000862833,0.005756000000000001
u_8d_32b_16.svp,0.0006734816015395056,0.000444925949404123,0.0006516670000000001,0.00018173126556486217,0.0003180892008150334,0.000612125,0.029322458000000003
u_19d_32b_1.svp,0.00117206201312336,0.00005013670060683962,0.001159875,0.0006688871391076135,0.00032632458442694685,0.0011072500000000002,0.0018732500000000001
u_12d_32b_9.svp,0.0007257404577429122,0.0001253723097216717,0.00071,0.00023765283400809645,0.00031873557692307805,0.000672375,0.004366125
u_15d_16b_15.svp,0.0008206605861748286,0.00010866446145281892,0.00080575,0.0003280846249225051,0.00031997086174829467,0.0007658340000000001,0.0032171250000000004
u_13d_32b_10.svp,0.0007516600944606418,0.00003506645655639056,0.000742083,0.00026853702623906773,0.0003172501457725954,0.000706083,0.000974833
u_11d_32b_7.svp,0.0007130246486030839,0.00011021084000419972,0.0006985,0.00022733357418112054,0.0003184111271676306,0.00066025,0.0043495
u_3d_8b_6.svp,0.0006845314060077533,0.000086579446059707,0.0006630830000000001,0.0001802221414728659,0.00033352567829457235,0.000604625,0.002774958
